gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MonthlyCharges,TotalCharges,InternetService,Contract,Churn
Male,-2.02967444022606,Yes,Yes,-1.4192786996459645,No,-5.980684819235483,1.518091812005666,Fiber optic,Month-to-month,0
Female,-3.8985584437547796,Yes,Yes,-1.3601845713780738,Yes,-4.648657168164119,-2.4547769088769336,DSL,One year,0
Female,3.103860075421551,Yes,Yes,4.191340621024867,No,3.4916430083592087,0.8273464203860355,Fiber optic,Two year,0
Female,2.218811004115151,No,No,-1.7380070042803126,No,-1.8420874280383952,1.6682278992695796,No,One year,0
Female,-0.6260439578668422,Yes,Yes,2.636885742509355,Yes,1.756073515501281,-0.7742381554289794,DSL,One year,0
Male,1.160588683321806,No,Yes,1.5560434878889824,Yes,-0.27515361916970754,1.2317854518220628,No,Month-to-month,0
Female,-1.2919926866654448,No,No,2.106804376497469,No,-1.7218806859937168,2.5115365432244214,DSL,Month-to-month,0
Female,2.116088613974152,Yes,No,2.5952545919323082,No,5.083843919388015,0.6579576031179875,DSL,Month-to-month,1
Female,-0.18458332902394303,No,Yes,-3.846012452933568,Yes,-2.74156994764774,-1.1456047699433327,Fiber optic,One year,0
Female,-2.4152658684205766,Yes,No,0.6091218089524473,Yes,-4.086635585247587,-3.214651356273473,DSL,One year,1
Male,-0.05917828663233615,No,No,2.552294515030977,No,1.1332935250887983,0.4623075159809297,DSL,One year,0
Male,1.0746538851886052,No,No,0.37610978155725183,Yes,0.6527296052529783,0.5429801178456659,No,Month-to-month,0
Male,-1.355916182685276,Yes,Yes,-0.46483713702903673,Yes,-2.318010067126303,-1.6945898311195218,DSL,One year,1
Female,-1.048787141841112,No,No,0.10493801055298446,No,-2.836901292119351,-2.3185673391322075,No,Two year,0
Female,-3.415053737715392,Yes,Yes,-0.7059053709475914,Yes,-3.0054446201163736,-4.497884663791497,DSL,One year,0
Male,-4.572114431398261,No,Yes,2.058216821192412,No,-5.582250650962436,-3.1898410564622024,DSL,One year,0
Female,-4.288013349070107,No,No,0.7218421499699685,No,-6.674868034249961,-5.555756881465842,No,One year,1
Female,0.07092619883146722,Yes,Yes,1.1284882171517785,Yes,0.25612174274216626,-3.2239422124373904,No,One year,1
Female,-2.641737919310658,Yes,No,0.4047804422188397,Yes,-4.483978915647034,0.31033112504931126,DSL,One year,0
Male,-0.9172152899841716,Yes,Yes,-2.6133956250814077,No,-2.960357871868935,1.1335928075553185,No,Month-to-month,1
